ScannedBarcode,CountOfMRP,MRP,Conversion,Check MRP,CombiBarCode+MRP,SBF,Category,Picking_Status,CombiBarCode+MRP+Conversion,QtyPicked
4987176234209,#REF!,175,#REF!,OK,4987176234209_175,,,#REF!,#REF!,0
4987176234209,#REF!,175,#REF!,OK,4987176234209_175,,,#REF!,#REF!,0
4987176234209,#REF!,175,#REF!,OK,4987176234209_175,,,#REF!,#REF!,0
4987176073020,#REF!,199,#REF!,OK,4987176073020_199,,,#REF!,#REF!,0
4987176073020,#REF!,199,#REF!,OK,4987176073020_199,,,#REF!,#REF!,0
4987176073020,#REF!,199,#REF!,OK,4987176073020_199,,,#REF!,#REF!,0
4987176294104,#REF!,290,#REF!,OK,4987176294104_290,,,#REF!,#REF!,0
4987176294104,#REF!,290,#REF!,OK,4987176294104_290,,,#REF!,#REF!,0
4987176072948,#REF!,235,#REF!,OK,4987176072948_235,,,#REF!,#REF!,0
4987176072948,#REF!,235,#REF!,OK,4987176072948_235,,,#REF!,#REF!,0
4987176072993,#REF!,199,#REF!,OK,4987176072993_199,,,#REF!,#REF!,0
4987176072993,#REF!,199,#REF!,OK,4987176072993_199,,,#REF!,#REF!,0
4987176072993,#REF!,199,#REF!,OK,4987176072993_199,,,#REF!,#REF!,0
4987176072993,#REF!,199,#REF!,OK,4987176072993_199,,,#REF!,#REF!,0
4987176072993,#REF!,199,#REF!,OK,4987176072993_199,,,#REF!,#REF!,0
4987176073013,#REF!,199,#REF!,OK,4987176073013_199,,,#REF!,#REF!,0
4987176073013,#REF!,199,#REF!,OK,4987176073013_199,,,#REF!,#REF!,0
4987176290625,#REF!,199,#REF!,OK,4987176290625_199,,,#REF!,#REF!,0
4987176290625,#REF!,199,#REF!,OK,4987176290625_199,,,#REF!,#REF!,0
4987176290625,#REF!,199,#REF!,OK,4987176290625_199,,,#REF!,#REF!,0
4987176073037,#REF!,199,#REF!,OK,4987176073037_199,,,#REF!,#REF!,0
4987176073037,#REF!,199,#REF!,OK,4987176073037_199,,,#REF!,#REF!,0
4987176073037,#REF!,199,#REF!,OK,4987176073037_199,,,#REF!,#REF!,0
4987176073037,#REF!,199,#REF!,OK,4987176073037_199,,,#REF!,#REF!,0
4987176073037,#REF!,199,#REF!,OK,4987176073037_199,,,#REF!,#REF!,0
4987176230751,#REF!,32,#REF!,OK,4987176230751_32,,,#REF!,#REF!,30
4987176230775,#REF!,32,#REF!,OK,4987176230775_32,,,#REF!,#REF!,46
4987176230768,#REF!,32,#REF!,OK,4987176230768_32,,,#REF!,#REF!,45
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
,,,,,_,,,#REF!,__,0
