CombiBarCode+MRP,company,category,brand,BrandForm,SBF,BarCode,UPC,MRP,SLP,RLP,CountOfMRP,Conversion,Combi,Mono,Units
4987176338273_445,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Matic FL 1.8kg Bag,4.98718E+12,12,445,395.54,412.03,1,Singles,4987176338273_445_Singles,1,1
4987176338280_399,PGHP,Fabric & Home Care,Ariel,Ariel New Matics,Ariel Matic TL 1.8kg Bag,4.98718E+12,12,399,354.66,369.45,1,Singles,4987176338280_399_Singles,1,1
4987176338907_799,PGHP,Skin Care,Olay,Olay 7in1,Olay 7in1 Gel 50g,4.98718E+12,6,799,666.97,694.78,1,Singles,4987176338907_799_Singles,1,1
4987176338914_799,PGHP,Skin Care,Olay,Olay 7in1,Olay 7in1 Srm 30ml,4.98718E+12,6,799,666.97,694.78,1,Singles,4987176338914_799_Singles,1,1
4987176339201_200,PGHP,Fabric & Home Care,Tide,Tide Bar,Tide Bar 2Kg White CN,4.98718E+12,6,200,177.77,185.18,1,Singles,4987176339201_200_Singles,1,1
4987176339522_350,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Dlite,RED Pants Value MD,4.98718E+12,12,350,279.99,291.67,1,Singles,4987176339522_350_Singles,1,1
4987176339546_196,PGHP,Baby Care,Pampers,Pampers Pants-Mid Packs-Dlite,RED Pants Econs MD,4.98718E+12,24,196,156.79,163.33,1,Singles,4987176339546_196_Singles,1,1
4987176340146_1009,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid 6L TL Pch,4.98718E+12,2,1009,896.86,934.26,1,Singles,4987176340146_1009_Singles,1,1
4987176340153_1185,PGHP,Fabric & Home Care,Ariel Liquid,Ariel Matic Liquid,Ariel Liquid 6L FL Pch,4.98718E+12,2,1185,1053.3,1097.22,1,Singles,4987176340153_1185_Singles,1,1
4987176340740_40,GIL,Personal Care (GIL),Gillette,Gillette Shaving Crm,Cream GIL Reg 30gm,4.98718E+12,144,40,34.28,35.71,2,Singles,4987176340740_40_Singles,1,1
4987176340740_45,GIL,Personal Care (GIL),Gillette,Gillette Shaving Crm,Cream GIL Reg 30gm,4.98718E+12,144,45,38.57,40.18,2,Singles,4987176340740_45_Singles,1,1
4987176340757_40,GIL,Personal Care (GIL),Gillette,Gillette Shaving Crm,Cream GIL Lime 30gm,4.98718E+12,144,40,34.28,35.71,1,Singles,4987176340757_40_Singles,1,1
4987176340962_560,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Dlite,RED Pants Jumbo New SM,4.98718E+12,6,560,447.99,466.67,1,Singles,4987176340962_560_Singles,1,1
4987176340979_560,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Dlite,RED Pants Jumbo New MD,4.98718E+12,6,560,447.99,466.67,1,Singles,4987176340979_560_Singles,1,1
4987176341006_585,PGHP,Baby Care,Pampers,Pampers Pants-Big Packs-Dlite,RED Pants Jumbo New XL,4.98718E+12,6,585,467.99,487.51,1,Singles,4987176341006_585_Singles,1,1
4987176341754_280,PGHP,Fabric & Home Care,Tide,Tide Base Bags,Tide SHS LV 2.2kg,4.98718E+12,12,280,248.88,259.26,1,Singles,4987176341754_280_Singles,1,1
4987176341846_177,PGHC,Health Care,Inhaler,Inhaler,Inhaler Pack 3s,4.98718E+12,72,177,141.78,147.69,1,Singles,4987176341846_177_Singles,1,1
4987176342553_0,PGHP,Baby Care,Pampers,Premium Pants,Pampers Premium Care FSU,4.98718E+12,4,0,0.02,0.02,1,Singles,4987176342553_0_Singles,1,1
4987176342621_1299,GIL,Grooming,Fusion,ProGlide Flexbal Rzr,ProGlide Gift Pack,4.98718E+12,6,1299,1113.39,1159.82,1,Singles,4987176342621_1299_Singles,1,1
4987176342638_240,GIL,Grooming,Gillette Presto Intl,Presto3,Presto 3 5+1,4.98718E+12,100,240,181.13,188.68,1,Singles,4987176342638_240_Singles,1,1
4987176342645_99,GIL,Female Hair Removal,Satin Care,S Other Disp,Simply Venus 3s Disp,4.98718E+12,192,99,83.37,86.85,1,Singles,4987176342645_99_Singles,1,1
4987176342652_267,GIL,Grooming,Gillette Vector Plus,Vector Cart,Vector 6s,4.98718E+12,600,267,224.09,233.43,1,Singles,4987176342652_267_Singles,1,1
4987176342669_396,GIL,Female Hair Removal,Satin Care,S Other Disp,Venus RTM,4.98718E+12,48,396,311.6,324.59,1,Singles,4987176342669_396_Singles,1,1
4987176343857_1464,PGHC,Health Care,VCD,VCD,VCD 800+250 worth Rs 500 off,4.98718E+12,4,1464,1198.36,1248.33,2,Singles,4987176343857_1464_Singles,1,1
4987176343857_1496,PGHC,Health Care,VCD,VCD,VCD 800+250 worth Rs 500 off,4.98718E+12,4,1496,1198.36,1248.33,2,Singles,4987176343857_1496_Singles,1,1
4987176343864_321,PGHC,Health Care,VCD,VCD,VCD 175+50 worth Rs 100 off,4.98718E+12,16,321,262.14,273.07,1,Singles,4987176343864_321_Singles,1,1
4987176344311_768,PGHC,Health Care,Action 500,Action 500,A500 ADV N64 PB,4.98718E+12,90,768,496.67,517.38,1,Singles,4987176344311_768_Singles,1,1
4987176344328_768,PGHC,Health Care,Action 500,Action 500,A500 ADV N64,4.98718E+12,90,768,496.67,517.38,1,Singles,4987176344328_768_Singles,1,1
4987176344328_768,PGHC,Health Care,Action 500,Action 500,A500 ADV N69,4.98718E+12,90,768,496.67,517.38,1,Singles,4987176344328_768_Singles,1,1
